Time, Projected Occupancy,  num_parked_ios, num_parked_android, num_parked
09/25 06:31 PM,4 %,1,0,1
09/25 08:04 PM,8 %,2,0,2
09/25 09:38 PM,4 %,1,0,1
09/26 06:22 AM,8 %,2,0,2
09/26 06:42 AM,12 %,3,0,3
09/26 07:04 AM,15 %,4,0,4
09/26 07:13 AM,19 %,5,0,5
09/26 07:20 AM,27 %,7,0,7
09/26 07:46 AM,31 %,8,0,8
09/26 07:47 AM,35 %,9,0,9
09/26 07:50 AM,38 %,10,0,10
09/26 07:56 AM,42 %,11,0,11
09/26 08:02 AM,46 %,12,0,12
09/26 08:02 AM,50 %,13,0,13
09/26 08:05 AM,54 %,14,0,14
09/26 08:06 AM,58 %,15,0,15
09/26 08:06 AM,62 %,16,0,16
09/26 08:09 AM,65 %,17,0,17
09/26 08:10 AM,69 %,18,0,18
09/26 08:16 AM,69 %,18,0,18
09/26 08:18 AM,73 %,19,0,19
09/26 08:23 AM,77 %,20,0,20
09/26 08:23 AM,81 %,21,0,21
09/26 08:24 AM,85 %,22,0,22
09/26 08:42 AM,88 %,23,0,23
09/26 08:44 AM,92 %,24,0,24
09/26 08:50 AM,96 %,25,0,25
09/26 08:52 AM,100 %,26,0,26
09/26 08:52 AM,96 %,25,0,25
09/26 08:59 AM,100 %,26,0,26
09/26 09:06 AM,104 %,27,0,27
09/26 09:09 AM,108 %,28,0,28
09/26 09:22 AM,112 %,29,0,29
09/26 09:31 AM,112 %,29,0,29
09/26 09:49 AM,112 %,29,0,29
09/26 09:52 AM,115 %,30,0,30
09/26 09:54 AM,119 %,31,0,31
09/26 10:14 AM,123 %,32,0,32
09/26 10:22 AM,115 %,30,0,30
09/26 10:24 AM,119 %,31,0,31
09/26 10:25 AM,115 %,30,0,30
09/26 10:26 AM,112 %,29,0,29
09/26 10:38 AM,108 %,28,0,28
09/26 11:37 AM,104 %,27,0,27
09/26 11:38 AM,104 %,27,0,27
09/26 11:51 AM,108 %,28,0,28
09/26 12:05 PM,104 %,27,0,27
09/26 12:15 PM,100 %,26,0,26
09/26 12:51 PM,96 %,25,0,25
09/26 01:04 PM,100 %,26,0,26
09/26 01:14 PM,96 %,25,0,25
09/26 01:17 PM,100 %,26,0,26
09/26 01:26 PM,96 %,25,0,25
09/26 01:28 PM,92 %,24,0,24
09/26 01:41 PM,92 %,24,0,24
09/26 02:05 PM,88 %,23,0,23
09/26 02:10 PM,92 %,24,0,24
09/26 02:27 PM,88 %,23,0,23
09/26 02:38 PM,85 %,22,0,22
09/26 02:41 PM,81 %,21,0,21
09/26 02:59 PM,81 %,21,0,21
09/26 03:00 PM,77 %,20,0,20
09/26 03:10 PM,81 %,21,0,21
09/26 03:27 PM,77 %,20,0,20
09/26 03:48 PM,73 %,19,0,19
09/26 04:29 PM,69 %,18,0,18
09/26 04:39 PM,77 %,20,0,20
09/26 04:39 PM,73 %,19,0,19
09/26 04:47 PM,69 %,18,0,18
09/26 04:52 PM,65 %,17,0,17
09/26 05:12 PM,65 %,17,0,17
09/26 05:57 PM,62 %,16,0,16
09/26 05:59 PM,58 %,15,0,15
09/26 06:03 PM,58 %,15,0,15
09/26 06:15 PM,50 %,13,0,13
09/26 07:23 PM,54 %,14,0,14
09/26 09:16 PM,50 %,13,0,13
09/26 09:20 PM,54 %,14,0,14
09/26 09:37 PM,50 %,13,0,13
09/26 10:31 PM,54 %,14,0,14
09/26 10:33 PM,50 %,13,0,13
09/27 12:43 AM,46 %,12,0,12
09/27 03:06 AM,42 %,11,0,11
09/27 06:14 AM,42 %,11,0,11
09/27 07:17 AM,38 %,10,0,10
09/27 07:18 AM,42 %,11,0,11
09/27 07:19 AM,46 %,12,0,12
09/27 07:35 AM,50 %,13,0,13
09/27 07:37 AM,54 %,14,0,14
09/27 07:37 AM,46 %,12,0,12
09/27 07:41 AM,50 %,13,0,13
09/27 07:58 AM,50 %,13,0,13
09/27 08:02 AM,54 %,14,0,14
09/27 08:09 AM,54 %,14,0,14
09/27 08:11 AM,54 %,14,0,14
09/27 08:22 AM,54 %,14,0,14
09/27 08:24 AM,58 %,15,0,15
09/27 08:31 AM,62 %,16,0,16
09/27 08:34 AM,65 %,17,0,17
09/27 08:35 AM,69 %,18,0,18
09/27 08:36 AM,73 %,19,0,19
09/27 08:40 AM,73 %,19,0,19
09/27 08:57 AM,65 %,17,0,17
09/27 09:43 AM,65 %,17,0,17
09/27 09:59 AM,69 %,18,0,18
09/27 10:02 AM,69 %,18,0,18
09/27 10:12 AM,69 %,18,0,18
09/27 10:14 AM,73 %,19,0,19
09/27 10:24 AM,73 %,19,0,19
09/27 10:29 AM,77 %,20,0,20
09/27 10:31 AM,73 %,19,0,19
09/27 11:12 AM,77 %,20,0,20
09/27 11:23 AM,81 %,21,0,21
09/27 11:24 AM,85 %,22,0,22
09/27 11:31 AM,81 %,21,0,21
09/27 11:32 AM,77 %,20,0,20
09/27 11:42 AM,81 %,21,0,21
09/27 11:57 AM,77 %,20,0,20
